source,target,flow_usd_m,input_share,penetration
FRA:automotive,PRT:automotive,571.4,0.05354,0.12555
CHN:consumer_goods,PHL:consumer_goods,570.8,0.0069,0.02238
VNM:electronics_c26,THA:electronics_c26,567.2,0.00661,0.01263
ITA:aerospace,ITA:consumer_goods,563.0,0.00241,0.69764
MYS:electronics_c26,VNM:electronics_c26,562.6,0.00547,0.0072
SVK:automotive,FRA:automotive,559.4,0.00732,0.02151
DEU:electronics_c26,MYS:electronics_c26,559.1,0.01047,0.02285
JPN:automotive,FRA:automotive,558.6,0.00731,0.02148
THA:electronics_c26,SGP:electronics_c26,556.3,0.00786,0.01513
CHN:consumer_goods,CAN:consumer_goods,553.2,0.00599,0.03664
KOR:electronics_c26,VNM:consumer_goods,551.4,0.00401,0.1923
DNK:shipping,GRC:shipping,550.8,0.03832,0.09894
ROW:consumer_goods,TUR:consumer_goods,549.9,0.00466,0.01932
JPN:electronics_c26,DEU:electronics_c26,549.6,0.01005,0.0441
KOR:electronics_c26,USA:electronics_c26,548.3,0.00452,0.0234
ITA:consumer_goods,DEU:consumer_goods,547.6,0.00238,0.01382
FRA:aerospace,RUS:aerospace,547.4,0.02815,0.0776
USA:aerospace,MEX:aerospace,547.0,0.04713,0.15176
DEU:aerospace,CHN:aerospace,545.5,0.00407,0.01399
CHE:shipping,CHE:consumer_goods,542.1,0.01037,0.91619
SGP:electronics_c26,VNM:electronics_c26,541.9,0.00527,0.00694
FRA:consumer_goods,ESP:consumer_goods,540.4,0.00395,0.01605
BLR:consumer_goods,RUS:consumer_goods,539.8,0.00449,0.02259
SGP:electronics_c26,IDN:electronics_c26,537.8,0.02679,0.07177
MAR:automotive,ESP:automotive,531.4,0.00879,0.02755
CHN:electronics_c26,VNM:consumer_goods,526.5,0.00383,0.18362
THA:electronics_c26,VNM:electronics_c26,526.0,0.00511,0.00673
GBR:automotive,ESP:automotive,524.4,0.00868,0.02719
CHE:electronics_c26,SGP:electronics_c26,524.1,0.0074,0.01425
DNK:shipping,CHE:shipping,521.9,0.02314,0.07416
BEL:automotive,NLD:automotive,521.6,0.03734,0.07446
TWN:electronics_c26,CHN:consumer_goods,519.5,0.00019,0.06405
FRA:automotive,CZE:automotive,519.1,0.01182,0.02732
VNM:shipping,VNM:electronics_c26,518.6,0.00504,0.81478
TWN:aerospace,TWN:consumer_goods,516.7,0.00994,0.62352
PHL:electronics_c26,MEX:electronics_c26,514.9,0.0066,0.01224
JPN:automotive,ESP:automotive,514.3,0.00851,0.02666
DEU:automotive,TUR:automotive,513.4,0.02352,0.09308
MYS:electronics_c26,KOR:electronics_c26,512.3,0.00274,0.00541
MEX:electronics_c26,USA:aerospace,510.2,0.0033,0.069
ITA:consumer_goods,CHE:consumer_goods,509.2,0.00974,0.03156
GBR:aerospace,GBR:electronics_c26,509.2,0.04073,0.29535
ROW:consumer_goods,NLD:consumer_goods,508.9,0.00591,0.02875
FRA:automotive,ITA:automotive,507.0,0.00964,0.06344
ARE:shipping,SGP:shipping,503.3,0.00717,0.02397
EGY:shipping,EGY:consumer_goods,502.5,0.01545,0.73036
FRA:automotive,GBR:automotive,502.3,0.00881,0.041
CHN:aerospace,USA:aerospace,500.5,0.00323,0.00897
GBR:shipping,SGP:shipping,500.2,0.00712,0.02382
ZAF:automotive,ZAF:consumer_goods,499.9,0.0166,0.97691
DEU:electronics_c26,AUT:electronics_c26,499.1,0.08297,0.26811
THA:electronics_c26,JPN:electronics_c26,499.0,0.00478,0.01642
CHN:consumer_goods,PER:consumer_goods,496.2,0.01752,0.06547
VNM:consumer_goods,THA:consumer_goods,495.0,0.00366,0.01119
DNK:shipping,DEU:shipping,494.7,0.0161,0.11279
FRA:shipping,ROW:shipping,494.6,0.018,0.03964
DEU:automotive,ROU:automotive,494.5,0.02939,0.11622
ROW:consumer_goods,RUS:consumer_goods,493.8,0.00411,0.02066
CHN:automotive,RUS:automotive,492.3,0.01461,0.03812
CHN:shipping,ROW:shipping,491.0,0.01787,0.03934
ROU:consumer_goods,ROU:automotive,489.8,0.02911,0.60322
GRC:shipping,CHE:shipping,489.5,0.02171,0.06956
USA:consumer_goods,VNM:consumer_goods,488.7,0.00355,0.01175
BRA:automotive,MEX:automotive,488.3,0.0037,0.01571
GBR:automotive,FRA:automotive,485.6,0.00635,0.01867
DNK:shipping,USA:shipping,485.5,0.01048,0.07112
DEU:automotive,ZAF:automotive,483.9,0.03328,0.12133
NLD:consumer_goods,FRA:consumer_goods,480.2,0.00241,0.01314
DEU:automotive,ROW:automotive,478.9,0.01144,0.05431
KOR:consumer_goods,IDN:consumer_goods,478.4,0.00251,0.00833
PRT:automotive,ESP:automotive,476.9,0.00789,0.02472
DNK:shipping,JPN:shipping,476.6,0.01699,0.05711
IND:consumer_goods,ARE:consumer_goods,475.4,0.02682,0.12736
THA:electronics_c26,MYS:electronics_c26,474.2,0.00888,0.01937
CHN:electronics_c26,GBR:electronics_c26,473.3,0.03786,0.25488
TWN:electronics_c26,USA:electronics_c26,473.1,0.0039,0.02019
DEU:aerospace,USA:aerospace,472.2,0.00305,0.00846
ROW:automotive,ROW:consumer_goods,472.0,0.00149,0.46008
DEU:shipping,DEU:automotive,471.3,0.00163,0.86645
FRA:automotive,BEL:automotive,469.9,0.0375,0.09357
NLD:consumer_goods,ITA:consumer_goods,469.8,0.00201,0.00861
SGP:shipping,SGP:consumer_goods,468.8,0.03362,0.85635
ESP:consumer_goods,FRA:consumer_goods,468.7,0.00236,0.01282
IND:automotive,MEX:automotive,468.7,0.00355,0.01508
THA:shipping,THA:consumer_goods,467.7,0.00346,0.85473
GRC:shipping,DEU:shipping,466.0,0.01517,0.10625
ITA:consumer_goods,ESP:consumer_goods,462.9,0.00338,0.01375
SGP:electronics_c26,JPN:electronics_c26,462.5,0.00443,0.01522
FRA:consumer_goods,GBR:consumer_goods,462.2,0.00386,0.01916
ITA:automotive,ESP:automotive,461.7,0.00764,0.02394
DEU:consumer_goods,ESP:consumer_goods,460.7,0.00337,0.01369
DEU:shipping,DEU:consumer_goods,457.2,0.00199,0.78872
MEX:aerospace,CAN:aerospace,454.8,0.02414,0.04704
DEU:electronics_c26,CZE:electronics_c26,453.2,0.03886,0.11362
CAN:automotive,MEX:automotive,453.1,0.00343,0.01458
KOR:automotive,RUS:automotive,453.1,0.01345,0.03508
FRA:consumer_goods,FRA:electronics_c26,451.5,0.02804,0.80217
JPN:automotive,IDN:automotive,449.8,0.0178,0.05773
CHN:aerospace,CHN:electronics_c26,449.6,0.00032,0.79198
THA:electronics_c26,THA:consumer_goods,449.4,0.00332,0.62888
KOR:electronics_c26,JPN:electronics_c26,448.7,0.00429,0.01477
USA:aerospace,GBR:electronics_c26,448.2,0.03585,0.25993
GBR:electronics_c26,GBR:consumer_goods,446.7,0.00373,0.66156
USA:aerospace,USA:consumer_goods,444.3,0.00052,0.86683
MEX:automotive,USA:consumer_goods,444.2,0.00052,0.1456
SWE:automotive,NLD:automotive,444.2,0.0318,0.06341
GBR:electronics_c26,GBR:automotive,442.8,0.00776,0.40657
FRA:automotive,FRA:consumer_goods,442.1,0.00222,0.41855
KOR:electronics_c26,THA:electronics_c26,439.7,0.00512,0.00979
NOR:shipping,ROW:shipping,438.6,0.01597,0.03515
CHN:consumer_goods,EGY:consumer_goods,438.4,0.01348,0.08782
BEL:consumer_goods,FRA:consumer_goods,436.6,0.00219,0.01194
RUS:consumer_goods,RUS:aerospace,436.5,0.02245,0.89232
ESP:automotive,ESP:consumer_goods,435.0,0.00318,0.89121
NOR:shipping,CHN:shipping,433.8,0.00373,0.00899
KOR:electronics_c26,CHN:consumer_goods,432.9,0.00016,0.05336
ITA:aerospace,ITA:automotive,432.7,0.00823,0.69672
MEX:automotive,MEX:consumer_goods,431.8,0.00361,0.88281
USA:electronics_c26,ROW:electronics_c26,430.5,0.02363,0.09175
CHN:automotive,ROW:automotive,429.3,0.01025,0.04868
THA:consumer_goods,IDN:consumer_goods,428.6,0.00225,0.00746
FRA:consumer_goods,FRA:shipping,428.5,0.02778,0.8951
DEU:consumer_goods,KOR:consumer_goods,427.8,0.00284,0.00991
JPN:shipping,SGP:shipping,427.4,0.00609,0.02035
KOR:electronics_c26,MEX:automotive,426.3,0.00323,0.04944
CHN:consumer_goods,ARE:consumer_goods,425.9,0.02403,0.11411
IDN:consumer_goods,IDN:automotive,425.2,0.01683,0.82681
DEU:consumer_goods,BEL:consumer_goods,423.2,0.00847,0.03651
CHE:electronics_c26,DEU:electronics_c26,423.1,0.00774,0.03395
MYS:electronics_c26,USA:electronics_c26,421.8,0.00348,0.018
POL:automotive,HUN:automotive,421.3,0.01583,0.05205
SGP:shipping,SGP:aerospace,420.0,0.06409,0.98814
CHN:electronics_c26,DEU:automotive,415.1,0.00143,0.19517
CHN:electronics_c26,TUR:electronics_c26,413.7,0.13031,0.30405
PRT:automotive,FRA:automotive,412.9,0.0054,0.01588
CHN:consumer_goods,MAR:consumer_goods,412.2,0.02003,0.08143
ESP:automotive,CZE:automotive,412.0,0.00939,0.02168
GRC:shipping,USA:shipping,411.0,0.00887,0.06021
MYS:shipping,MYS:consumer_goods,410.7,0.00512,0.88115
POL:automotive,POL:consumer_goods,409.1,0.00502,0.43773
RUS:consumer_goods,RUS:automotive,406.6,0.01207,0.6146
USA:electronics_c26,NLD:electronics_c26,406.3,0.01883,0.06787
VNM:consumer_goods,IDN:consumer_goods,405.7,0.00213,0.00707
DEU:aerospace,GBR:aerospace,404.5,0.01596,0.05038
ESP:automotive,ITA:automotive,404.2,0.00769,0.05058
USA:aerospace,TWN:aerospace,403.8,0.04386,0.18947
BRA:consumer_goods,BRA:shipping,402.8,0.126,0.97483
THA:shipping,SGP:shipping,402.0,0.00572,0.01914
MEX:electronics_c26,MEX:consumer_goods,401.2,0.00335,0.4018
CHN:electronics_c26,CAN:automotive,401.1,0.00652,0.39315
KOR:shipping,KOR:electronics_c26,397.2,0.00212,0.66314
SGP:consumer_goods,SGP:shipping,396.0,0.00564,0.78874
SGP:shipping,IND:shipping,394.3,0.15278,0.29829
ITA:electronics_c26,ITA:consumer_goods,393.4,0.00168,0.60332
BRA:aerospace,USA:aerospace,393.3,0.00254,0.00705
DEU:automotive,TWN:automotive,391.9,0.03667,0.07814
IDN:consumer_goods,MYS:consumer_goods,391.6,0.00488,0.01566
BEL:automotive,GBR:automotive,391.2,0.00686,0.03194
GBR:aerospace,DEU:aerospace,390.6,0.01008,0.0266
GRC:shipping,ROW:shipping,389.7,0.01418,0.03122
VNM:electronics_c26,MYS:electronics_c26,389.3,0.00729,0.01591
DEU:electronics_c26,JPN:electronics_c26,387.9,0.00371,0.01277
FRA:shipping,SGP:shipping,387.5,0.00552,0.01845
PHL:electronics_c26,THA:electronics_c26,386.4,0.0045,0.0086
CHE:shipping,CHE:electronics_c26,386.2,0.00972,0.91795
MEX:electronics_c26,USA:consumer_goods,385.1,0.00045,0.06767
ITA:automotive,CZE:automotive,382.2,0.00871,0.02012
IDN:electronics_c26,SGP:electronics_c26,382.0,0.0054,0.01039
DEU:shipping,USA:shipping,381.7,0.00824,0.05592
DEU:electronics_c26,HUN:automotive,380.4,0.01429,0.25039
CHN:electronics_c26,SVK:electronics_c26,379.1,0.09279,0.173
CHN:shipping,GRC:shipping,379.1,0.02637,0.06809
SGP:shipping,CHE:shipping,378.7,0.01679,0.05381
FRA:electronics_c26,SGP:electronics_c26,377.0,0.00532,0.01025
BGD:shipping,BGD:consumer_goods,376.3,0.00681,0.92606
PHL:electronics_c26,KOR:electronics_c26,376.0,0.00201,0.00397
DEU:shipping,KOR:shipping,376.0,0.01777,0.05693
KOR:shipping,ROW:shipping,375.8,0.01368,0.03011
NLD:electronics_c26,HUN:electronics_c26,373.9,0.032,0.06397
VNM:electronics_c26,ARE:electronics_c26,373.8,0.06565,0.09552
FRA:automotive,POL:automotive,373.6,0.01166,0.03681
USA:aerospace,ESP:aerospace,372.9,0.03274,0.08182
FRA:aerospace,BRA:aerospace,372.8,0.06354,0.14094
MYS:electronics_c26,MEX:automotive,371.6,0.00281,0.0431
TUR:consumer_goods,TUR:automotive,371.6,0.01702,0.85583
CHE:shipping,CHN:shipping,371.0,0.00319,0.00768
MAR:automotive,FRA:automotive,369.1,0.00483,0.01419
KOR:shipping,KOR:consumer_goods,368.3,0.00244,0.67166
CZE:electronics_c26,DEU:electronics_c26,367.8,0.00673,0.02951
ITA:automotive,POL:automotive,366.9,0.01145,0.03615
CHN:consumer_goods,AUS:consumer_goods,366.2,0.00519,0.03731
HUN:electronics_c26,DEU:electronics_c26,365.5,0.00669,0.02933
GRC:shipping,CHN:shipping,365.2,0.00314,0.00756
SWE:automotive,FRA:automotive,365.0,0.00478,0.01403
TWN:electronics_c26,DEU:electronics_c26,364.5,0.00667,0.02925
CHN:consumer_goods,ZAF:consumer_goods,363.7,0.01208,0.04385
KOR:electronics_c26,IND:electronics_c26,363.5,0.01162,0.05034
NLD:electronics_c26,NLD:consumer_goods,362.8,0.00422,0.62188
ITA:consumer_goods,KOR:consumer_goods,362.2,0.0024,0.00839
USA:consumer_goods,MEX:automotive,362.2,0.00274,0.14665
DEU:electronics_c26,THA:electronics_c26,362.0,0.00422,0.00806
THA:automotive,IDN:automotive,360.0,0.01425,0.0462
THA:consumer_goods,MYS:consumer_goods,359.6,0.00448,0.01438
USA:electronics_c26,ISR:electronics_c26,358.6,0.025,0.04569
ROU:automotive,CZE:automotive,357.7,0.00815,0.01882
CHN:aerospace,JPN:aerospace,357.6,0.01163,0.02944
DEU:electronics_c26,USA:electronics_c26,356.9,0.00294,0.01524
FRA:electronics_c26,DEU:electronics_c26,355.7,0.00651,0.02854
POL:automotive,ESP:automotive,355.4,0.00588,0.01842
USA:automotive,ROW:automotive,354.8,0.00847,0.04024
CHN:electronics_c26,FIN:electronics_c26,354.7,0.04299,0.12067
GBR:aerospace,CAN:aerospace,354.0,0.01879,0.03662
CHN:consumer_goods,ISR:consumer_goods,354.0,0.01637,0.07074
CHN:automotive,THA:automotive,353.6,0.01017,0.03511
HUN:automotive,ESP:automotive,353.4,0.00585,0.01832
CHE:electronics_c26,JPN:electronics_c26,351.9,0.00337,0.01158
JPN:electronics_c26,USA:electronics_c26,349.7,0.00288,0.01493
POL:automotive,FRA:automotive,348.6,0.00456,0.0134
NLD:consumer_goods,ESP:consumer_goods,348.0,0.00254,0.01034
VNM:consumer_goods,PHL:consumer_goods,346.5,0.00419,0.01358
CAN:consumer_goods,CAN:aerospace,344.9,0.0183,0.81466
KOR:automotive,ROW:automotive,344.7,0.00823,0.03909
THA:automotive,MEX:automotive,344.4,0.00261,0.01108
ITA:electronics_c26,ITA:automotive,344.3,0.00655,0.40617
GBR:automotive,SVK:automotive,343.6,0.01148,0.02013
IND:consumer_goods,THA:consumer_goods,342.1,0.00253,0.00773
FRA:aerospace,SGP:aerospace,342.1,0.05219,0.10821
FRA:consumer_goods,CHE:consumer_goods,342.0,0.00654,0.0212
NLD:shipping,DEU:shipping,341.0,0.0111,0.07774
ROW:consumer_goods,ROW:shipping,339.9,0.01237,0.73992
USA:electronics_c26,CAN:electronics_c26,339.8,0.04915,0.16987
TUR:automotive,ESP:automotive,339.4,0.00562,0.0176
CHN:electronics_c26,IND:aerospace,339.4,0.0149,0.43222
ISR:shipping,ISR:consumer_goods,339.1,0.01568,0.89478
BRA:shipping,BRA:consumer_goods,338.5,0.00165,0.40255
SAU:consumer_goods,SAU:shipping,337.3,0.27528,0.68492
CHN:electronics_c26,AUT:electronics_c26,337.0,0.05603,0.18106
GBR:consumer_goods,GBR:electronics_c26,336.9,0.02695,0.76336
MEX:automotive,BRA:automotive,335.9,0.00559,0.01682
ARE:shipping,ROW:shipping,334.6,0.01218,0.02682
SGP:shipping,BGD:shipping,333.4,0.0972,0.14088
THA:shipping,THA:electronics_c26,332.3,0.00387,0.68791
ESP:aerospace,DEU:aerospace,331.1,0.00854,0.02255
NOR:consumer_goods,NOR:shipping,331.0,0.02321,0.69777
KOR:electronics_c26,DEU:electronics_c26,330.3,0.00604,0.0265
ITA:consumer_goods,GBR:consumer_goods,329.7,0.00276,0.01367
PHL:electronics_c26,VNM:electronics_c26,328.9,0.0032,0.00421
ITA:aerospace,USA:aerospace,328.6,0.00212,0.00589
RUS:aerospace,FRA:aerospace,327.8,0.00328,0.00537
SGP:electronics_c26,IND:automotive,327.1,0.00373,0.17412
CHN:electronics_c26,FRA:automotive,325.6,0.00426,0.2746
JPN:automotive,CZE:automotive,325.6,0.00742,0.01713
JPN:automotive,GBR:automotive,325.5,0.00571,0.02657
CZE:automotive,AUT:automotive,323.5,0.0204,0.06274
MEX:aerospace,FRA:aerospace,322.3,0.00322,0.00528
CHE:electronics_c26,CHE:consumer_goods,322.2,0.00616,0.74713
MEX:automotive,USA:aerospace,321.3,0.00208,0.13464
DEU:electronics_c26,POL:electronics_c26,320.8,0.0373,0.09468
TWN:aerospace,FRA:aerospace,320.1,0.0032,0.00525
FRA:automotive,NLD:automotive,320.0,0.02291,0.04569
CHE:shipping,GRC:shipping,318.4,0.02215,0.05718
THA:electronics_c26,TWN:electronics_c26,317.3,0.00236,0.00513
NOR:shipping,DEU:shipping,316.7,0.01031,0.07221
ROW:consumer_goods,ZAF:consumer_goods,316.6,0.01051,0.03816
GBR:shipping,ROW:shipping,315.7,0.01149,0.02529
VNM:consumer_goods,KHM:consumer_goods,315.7,0.07527,0.12826
NOR:shipping,GRC:shipping,314.9,0.02191,0.05657
IDN:consumer_goods,KOR:consumer_goods,314.7,0.00209,0.00729
USA:electronics_c26,IND:electronics_c26,314.2,0.01004,0.04351
NLD:electronics_c26,DEU:electronics_c26,314.0,0.00574,0.02519
ROW:shipping,GRC:shipping,312.8,0.02176,0.05619
CAN:consumer_goods,CAN:automotive,312.7,0.00508,0.63008
ROU:automotive,SVK:automotive,310.9,0.01039,0.01821
RUS:consumer_goods,BLR:consumer_goods,310.7,0.02419,0.08139
AUT:automotive,SVK:automotive,309.9,0.01036,0.01815
CHN:consumer_goods,JOR:consumer_goods,309.5,0.04906,0.14704
GBR:automotive,CAN:automotive,309.1,0.00502,0.01065
BRA:automotive,BRA:consumer_goods,308.2,0.0015,0.86855
VNM:electronics_c26,DEU:electronics_c26,307.1,0.00562,0.02464
PRT:consumer_goods,ESP:consumer_goods,306.7,0.00224,0.00911
IND:consumer_goods,VNM:consumer_goods,305.7,0.00222,0.00735
CHN:aerospace,IDN:aerospace,304.9,0.01488,0.05958
CHN:consumer_goods,CHE:consumer_goods,304.6,0.00583,0.01888
DEU:electronics_c26,FRA:electronics_c26,303.5,0.01885,0.07646
BRA:automotive,ARG:automotive,303.4,0.03458,0.20104
TUR:automotive,POL:automotive,302.6,0.00945,0.02982
CHN:electronics_c26,ITA:electronics_c26,302.1,0.01913,0.15105
IDN:automotive,IDN:aerospace,302.0,0.01473,0.83537
ITA:consumer_goods,TUR:consumer_goods,301.2,0.00256,0.01058
SWE:automotive,BEL:automotive,301.0,0.02402,0.05994
ESP:automotive,ESP:aerospace,300.5,0.02638,0.48883
JPN:aerospace,GBR:aerospace,300.2,0.01185,0.03738
TUR:automotive,ITA:automotive,300.2,0.00571,0.03757
MYS:shipping,MYS:electronics_c26,299.2,0.0056,0.58334
NOR:shipping,NOR:consumer_goods,297.4,0.01124,0.83251
USA:consumer_goods,TWN:consumer_goods,296.7,0.00571,0.02174
FRA:consumer_goods,NLD:consumer_goods,296.6,0.00345,0.01676
AUT:automotive,HUN:automotive,296.4,0.01113,0.03662
ESP:automotive,POL:automotive,296.1,0.00924,0.02918
IND:shipping,IND:consumer_goods,291.7,0.00075,0.73871
VNM:electronics_c26,JPN:electronics_c26,291.6,0.00279,0.00959
BEL:consumer_goods,GBR:consumer_goods,291.2,0.00243,0.01208
USA:shipping,USA:aerospace,290.7,0.00188,0.83992
VNM:consumer_goods,TWN:consumer_goods,290.4,0.00558,0.02128
DEU:automotive,ITA:consumer_goods,289.6,0.00124,0.14453
FRA:aerospace,ESP:aerospace,289.4,0.02541,0.06351
CHE:consumer_goods,CHE:electronics_c26,288.6,0.00726,0.4773
VNM:consumer_goods,VNM:shipping,287.3,0.05111,0.90099
CHN:consumer_goods,COL:consumer_goods,286.8,0.00866,0.03925
SGP:shipping,NOR:shipping,286.4,0.02008,0.14661
JPN:consumer_goods,THA:consumer_goods,286.4,0.00212,0.00648
ITA:consumer_goods,ITA:shipping,284.9,0.0294,0.83103
JPN:automotive,MYS:automotive,284.5,0.0333,0.08593
DEU:electronics_c26,ITA:electronics_c26,284.1,0.01799,0.14202
ITA:shipping,GRC:shipping,282.9,0.01968,0.05081
JPN:automotive,POL:automotive,282.0,0.0088,0.02779
USA:electronics_c26,CHE:electronics_c26,281.6,0.00708,0.01597
DNK:shipping,DNK:consumer_goods,280.5,0.01177,0.83627
NLD:automotive,GBR:automotive,279.6,0.0049,0.02282
TWN:electronics_c26,MEX:automotive,279.6,0.00212,0.03242
HKG:shipping,SGP:shipping,279.2,0.00398,0.01329
RUS:electronics_c26,RUS:consumer_goods,278.5,0.00232,0.47026
GBR:aerospace,SGP:aerospace,278.5,0.0425,0.08811
AUS:automotive,AUS:consumer_goods,278.2,0.00394,0.29573
FRA:aerospace,DEU:consumer_goods,277.5,0.0012,0.12027
ESP:automotive,SVK:automotive,276.5,0.00924,0.0162
DEU:automotive,DEU:electronics_c26,276.4,0.00506,0.66441
JPN:consumer_goods,JPN:aerospace,276.2,0.00898,0.82667
ESP:consumer_goods,MAR:consumer_goods,275.9,0.0134,0.0545
FRA:aerospace,SGP:shipping,275.6,0.00392,0.10841
MYS:electronics_c26,DEU:electronics_c26,275.2,0.00503,0.02208
USA:aerospace,KOR:aerospace,275.0,0.04012,0.19226
USA:aerospace,IND:automotive,274.9,0.00314,0.06318
TWN:electronics_c26,CHN:aerospace,274.8,0.00205,0.05535
CHN:consumer_goods,KOR:automotive,274.8,0.00187,0.14986
CHN:aerospace,CAN:aerospace,274.6,0.01458,0.02841
TWN:shipping,JPN:shipping,274.3,0.00978,0.03287
THA:electronics_c26,USA:electronics_c26,274.1,0.00226,0.0117
PHL:electronics_c26,TWN:electronics_c26,271.9,0.00203,0.0044
SGP:consumer_goods,SGP:electronics_c26,271.7,0.00384,0.66676
HUN:electronics_c26,HUN:automotive,270.8,0.01017,0.17828
TWN:consumer_goods,THA:consumer_goods,270.8,0.002,0.00612
PAK:shipping,PAK:consumer_goods,270.7,0.00663,0.91116
CHE:aerospace,DEU:aerospace,269.2,0.00695,0.01833
FRA:shipping,DEU:shipping,268.8,0.00875,0.0613
GBR:consumer_goods,GBR:shipping,267.2,0.02503,0.66396
CHN:consumer_goods,MEX:automotive,267.1,0.00202,0.10813
CHN:consumer_goods,NLD:consumer_goods,266.9,0.0031,0.01508
IND:automotive,IND:consumer_goods,266.7,0.00069,0.95273
ESP:automotive,HUN:automotive,266.6,0.01002,0.03294
CHN:electronics_c26,MEX:consumer_goods,266.5,0.00223,0.26683
JPN:automotive,ARE:automotive,266.5,0.06974,0.26155
CHN:electronics_c26,FRA:consumer_goods,266.4,0.00134,0.26261
USA:consumer_goods,USA:shipping,265.3,0.00573,0.85875
ROU:automotive,FRA:automotive,264.4,0.00346,0.01017
DEU:consumer_goods,DNK:consumer_goods,264.3,0.01109,0.07074
HUN:automotive,FRA:automotive,263.6,0.00345,0.01013
KOR:electronics_c26,BRA:electronics_c26,263.5,0.01225,0.02717
KOR:electronics_c26,KOR:aerospace,262.9,0.03836,0.71738
CHN:automotive,CHN:shipping,262.3,0.00225,0.93009
SVK:automotive,ESP:automotive,262.3,0.00434,0.0136
POL:consumer_goods,GBR:consumer_goods,261.8,0.00219,0.01085
ESP:aerospace,GBR:aerospace,261.0,0.0103,0.0325
DNK:shipping,KOR:shipping,260.6,0.01231,0.03946
DEU:electronics_c26,VNM:electronics_c26,260.6,0.00253,0.00334
IND:automotive,ZAF:automotive,260.2,0.0179,0.06524
DEU:consumer_goods,CZE:consumer_goods,260.1,0.01316,0.07186
NLD:automotive,FRA:automotive,259.0,0.00339,0.00996
IDN:consumer_goods,IDN:aerospace,258.6,0.01262,0.81302
USA:electronics_c26,DEU:consumer_goods,257.6,0.00112,0.06374
USA:electronics_c26,BRA:electronics_c26,257.4,0.01197,0.02655
CHN:consumer_goods,ESP:automotive,256.7,0.00425,0.11615
TUR:shipping,TUR:consumer_goods,256.3,0.00217,0.68192
KOR:electronics_c26,CHN:aerospace,255.3,0.0019,0.05141
MYS:electronics_c26,JPN:electronics_c26,254.0,0.00243,0.00836
JPN:automotive,ZAF:automotive,252.7,0.01738,0.06337
ROW:consumer_goods,GBR:consumer_goods,252.6,0.00211,0.01047
GBR:consumer_goods,NLD:consumer_goods,252.4,0.00293,0.01426
BRA:electronics_c26,BRA:consumer_goods,250.7,0.00122,0.66097
VNM:electronics_c26,BRA:electronics_c26,250.5,0.01165,0.02584
THA:automotive,MYS:automotive,250.4,0.02931,0.07563
CHN:electronics_c26,HUN:automotive,249.9,0.00939,0.16452
IND:electronics_c26,IND:consumer_goods,249.7,0.00064,0.39088
GBR:automotive,TUR:automotive,249.4,0.01142,0.04522
DEU:automotive,BRA:automotive,248.9,0.00414,0.01246
GBR:consumer_goods,IRL:consumer_goods,248.8,0.00869,0.21743
KOR:automotive,ESP:automotive,248.5,0.00411,0.01288
CHN:consumer_goods,CHL:consumer_goods,248.1,0.0089,0.05497
IDN:automotive,THA:automotive,248.0,0.00713,0.02462
TUR:automotive,GBR:automotive,247.5,0.00434,0.02021
CHN:electronics_c26,ESP:automotive,247.5,0.0041,0.25839
MEX:electronics_c26,MEX:aerospace,247.1,0.02129,0.37641
SGP:electronics_c26,NLD:electronics_c26,246.8,0.01144,0.04123
SWE:consumer_goods,SWE:automotive,246.5,0.00822,0.62213
AUS:aerospace,AUS:automotive,246.4,0.04799,0.63453
CHN:aerospace,MEX:aerospace,245.8,0.02118,0.06819
NLD:consumer_goods,NLD:shipping,245.0,0.03546,0.81642
ISR:electronics_c26,ISR:consumer_goods,243.2,0.01125,0.81429
VNM:consumer_goods,MYS:consumer_goods,242.1,0.00302,0.00968
DEU:electronics_c26,IND:electronics_c26,241.8,0.00773,0.03349
CHN:electronics_c26,CHN:shipping,240.7,0.00207,0.75577
FRA:aerospace,GBR:electronics_c26,239.4,0.01915,0.13884
POL:electronics_c26,DEU:electronics_c26,239.3,0.00438,0.01921
DEU:electronics_c26,SVK:electronics_c26,239.0,0.0585,0.10905
ITA:automotive,GBR:automotive,238.8,0.00419,0.0195
USA:aerospace,POL:aerospace,238.5,0.05078,0.17156
KOR:shipping,KOR:automotive,237.7,0.00162,0.76236
JPN:shipping,CHN:shipping,237.4,0.00204,0.00492
GBR:aerospace,JPN:aerospace,237.2,0.00772,0.01953
VNM:electronics_c26,SGP:electronics_c26,237.0,0.00335,0.00645
MYS:consumer_goods,MYS:electronics_c26,236.2,0.00442,0.49898
JPN:automotive,BRA:automotive,236.1,0.00393,0.01182
CHE:aerospace,FRA:aerospace,234.9,0.00235,0.00385
VNM:electronics_c26,VNM:automotive,234.3,0.05154,0.44155
NLD:shipping,ROW:shipping,234.2,0.00852,0.01877
CHN:automotive,BRA:automotive,233.2,0.00388,0.01168
GBR:automotive,BEL:automotive,233.1,0.01861,0.04643
NLD:consumer_goods,POL:consumer_goods,232.8,0.00286,0.01168
MYS:electronics_c26,NLD:electronics_c26,232.7,0.01079,0.03887
CHN:electronics_c26,SGP:consumer_goods,232.3,0.01665,0.16074
USA:consumer_goods,PHL:consumer_goods,231.3,0.0028,0.00907
POL:automotive,ITA:automotive,231.2,0.0044,0.02893
SVK:automotive,RUS:automotive,230.9,0.00685,0.01788
ITA:automotive,SVK:automotive,230.6,0.00771,0.01351
