source_iso3,source_industry,target_iso3,target_industry,industry,dependency_weight,flow_value_usd,hs_codes,n_hs_codes,source_urls,period
JPN,automotive,VNM,automotive,automotive,0.1139,571502066.65,8703;8704;8708,3,https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8708&y=2019,2019
CHN,semiconductors,THA,semiconductors,semiconductors,0.1127,1482313274.25,8541;8542,2,https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8542&y=2019,2019
AUS,automotive,IND,automotive,automotive,0.111,7168469.7,8704,1,https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8704&y=2019,2019
MYS,semiconductors,VNM,semiconductors,semiconductors,0.1083,493427161.58,8541,1,https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8541&y=2019,2019
GBR,automotive,JPN,automotive,automotive,0.1077,1355095558.76,8703;8704,2,https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8704&y=2019,2019
CZE,automotive,DEU,automotive,automotive,0.104,11731324218.51,8703;8708,2,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8708&y=2019,2019
IDN,automotive,THA,automotive,automotive,0.1037,883536979.67,8703;8704;8708,3,https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8708&y=2019,2019
SVK,automotive,CHN,automotive,automotive,0.1032,4856958186.0,8703,1,https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8703&y=2019,2019
ESP,automotive,DEU,automotive,automotive,0.1029,12392134001.76,8703;8704;8708,3,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8708&y=2019,2019
THA,electronics,THA,electronics,electronics,0.1024,1116828182.33,8471;8517,2,https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8517&y=2019,2019
MYS,semiconductors,CHN,semiconductors,semiconductors,0.1008,33518676285.0,8541;8542,2,https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8542&y=2019,2019
KOR,semiconductors,NLD,semiconductors,semiconductors,0.1,275404984.37,8541,1,https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8541&y=2019,2019
S19,electronics,CHN,electronics,electronics,0.0997,7371356860.0,8471;8517;8528,3,https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8528&y=2019,2019
USA,semiconductors,THA,semiconductors,semiconductors,0.0995,1307970857.57,8541;8542,2,https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8542&y=2019,2019
JPN,automotive,IND,automotive,automotive,0.0993,416271514.79,8708,1,https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8708&y=2019,2019
VNM,semiconductors,NLD,semiconductors,semiconductors,0.0986,1320373415.19,8542,1,https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8542&y=2019,2019
VNM,electronics,DEU,electronics,electronics,0.0973,2239339608.35,8517,1,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8517&y=2019,2019
CHN,semiconductors,NLD,semiconductors,semiconductors,0.097,1566551442.0,8541;8542,2,https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8542&y=2019,2019
NLD,automotive,KOR,automotive,automotive,0.0953,33077417.0,8704,1,https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8704&y=2019,2019
USA,electronics,NLD,electronics,electronics,0.0941,3504823523.38,8471;8517,2,https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8517&y=2019,2019
S19,semiconductors,USA,semiconductors,semiconductors,0.0929,4126665422.0,8541;8542,2,https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8542&y=2019,2019
JPN,semiconductors,VNM,semiconductors,semiconductors,0.0929,3267579597.83,8541;8542,2,https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8542&y=2019,2019
MYS,semiconductors,THA,semiconductors,semiconductors,0.0904,1188627263.6,8541;8542,2,https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8542&y=2019,2019
DEU,automotive,USA,automotive,automotive,0.09,22423016680.0,8703;8708,2,https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8708&y=2019,2019
CHN,automotive,MEX,automotive,automotive,0.0893,3307313675.0,8703;8708,2,https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8708&y=2019,2019
USA,automotive,DEU,automotive,automotive,0.0878,6365533088.91,8703,1,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8703&y=2019,2019
S19,semiconductors,MEX,semiconductors,semiconductors,0.0873,2149352175.0,8541;8542,2,https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8542&y=2019,2019
SGP,electronics,IND,electronics,electronics,0.087,1940554072.23,8471;8517;8528,3,https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8528&y=2019,2019
JPN,semiconductors,KOR,semiconductors,semiconductors,0.0868,3531272430.0,8541;8542,2,https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8542&y=2019,2019
JPN,semiconductors,MYS,semiconductors,semiconductors,0.0868,3034138020.44,8541;8542,2,https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8542&y=2019,2019
JPN,automotive,MEX,automotive,automotive,0.0864,3379324026.0,8703;8704;8708,3,https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8708&y=2019,2019
KOR,electronics,CHN,electronics,electronics,0.0856,6334315131.0,8471;8517;8528,3,https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8528&y=2019,2019
SGP,semiconductors,IND,semiconductors,semiconductors,0.0855,1143454799.96,8541;8542,2,https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8542&y=2019,2019
THA,electronics,MEX,electronics,electronics,0.0854,2270298988.0,8471;8517;8528,3,https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8528&y=2019,2019
KOR,automotive,USA,automotive,automotive,0.084,20924395634.0,8703;8708,2,https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8708&y=2019,2019
SGP,electronics,MYS,electronics,electronics,0.0839,571278229.79,8471;8517,2,https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8517&y=2019,2019
FRA,automotive,DEU,automotive,automotive,0.0831,10000392065.76,8703;8704;8708,3,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8708&y=2019,2019
VNM,semiconductors,USA,semiconductors,semiconductors,0.0827,3670836328.0,8541;8542,2,https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8542&y=2019,2019
USA,semiconductors,KOR,semiconductors,semiconductors,0.0827,3364509432.0,8541;8542,2,https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8542&y=2019,2019
MYS,semiconductors,TWN,semiconductors,semiconductors,0.0822,4614210939.25,8541;8542,2,https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8542&y=2019,2019
DEU,automotive,MEX,automotive,automotive,0.082,3207937945.0,8703;8704;8708,3,https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8708&y=2019,2019
GBR,automotive,CHN,automotive,automotive,0.0816,3839039045.0,8703,1,https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8703&y=2019,2019
HKG,electronics,NLD,electronics,electronics,0.0816,3328805571.91,8471;8517;8528,3,https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8528&y=2019,2019
ROU,automotive,DEU,automotive,automotive,0.0807,3251139000.68,8708,1,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8708&y=2019,2019
THA,automotive,IND,automotive,automotive,0.0807,343382568.47,8704;8708,2,https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8708&y=2019,2019
DEU,automotive,THA,automotive,automotive,0.0804,685171233.84,8703;8704;8708,3,https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8708&y=2019,2019
USA,automotive,JPN,automotive,automotive,0.0802,1660791937.71,8703;8704;8708,3,https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8708&y=2019,2019
VNM,electronics,TWN,electronics,electronics,0.0794,453581256.69,8517,1,https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8517&y=2019,2019
SVK,automotive,DEU,automotive,automotive,0.0778,8778841249.65,8703;8708,2,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8708&y=2019,2019
FRA,electronics,IND,electronics,electronics,0.0777,156149894.67,8528,1,https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8528&y=2019,2019
THA,electronics,MYS,electronics,electronics,0.0771,556640893.9,8471;8517;8528,3,https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8528&y=2019,2019
USA,automotive,THA,automotive,automotive,0.0764,651460560.48,8703;8704;8708,3,https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8708&y=2019,2019
PHL,electronics,MEX,electronics,electronics,0.076,769796742.0,8471,1,https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8471&y=2019,2019
KOR,automotive,JPN,automotive,automotive,0.0754,613373503.81,8708,1,https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8708&y=2019,2019
IDN,automotive,MYS,automotive,automotive,0.0738,195554476.01,8708,1,https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8708&y=2019,2019
MYS,electronics,THA,electronics,electronics,0.0736,873553202.73,8471;8517;8528,3,https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8528&y=2019,2019
IRL,semiconductors,VNM,semiconductors,semiconductors,0.0732,2242100492.22,8542,1,https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8542&y=2019,2019
USA,semiconductors,TWN,semiconductors,semiconductors,0.0731,4101259522.78,8541;8542,2,https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8542&y=2019,2019
GBR,automotive,KOR,automotive,automotive,0.072,799944221.0,8703,1,https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8703&y=2019,2019
THA,electronics,TWN,electronics,electronics,0.0715,251412575.65,8471,1,https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8471&y=2019,2019
KOR,electronics,MEX,electronics,electronics,0.0713,722859392.0,8471,1,https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8471&y=2019,2019
AUT,automotive,DEU,automotive,automotive,0.0711,3405442006.91,8704;8708,2,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8708&y=2019,2019
RUS,automotive,VNM,automotive,automotive,0.0708,52364786.5,8704,1,https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8704&y=2019,2019
KOR,semiconductors,USA,semiconductors,semiconductors,0.0701,3110426767.0,8541;8542,2,https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8542&y=2019,2019
PHL,semiconductors,JPN,semiconductors,semiconductors,0.0691,342251158.08,8541,1,https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8541&y=2019,2019
MYS,electronics,NLD,electronics,electronics,0.0686,1524525540.7,8517,1,https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8517&y=2019,2019
POL,automotive,NLD,automotive,automotive,0.0685,592829959.01,8704;8708,2,https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8708&y=2019,2019
FRA,automotive,NLD,automotive,automotive,0.0682,1447491200.32,8703;8704;8708,3,https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8708&y=2019,2019
KOR,automotive,TWN,automotive,automotive,0.0679,116765245.58,8704;8708,2,https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8708&y=2019,2019
KOR,automotive,CHN,automotive,automotive,0.0678,1710795017.0,8708,1,https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8708&y=2019,2019
SGP,semiconductors,NLD,semiconductors,semiconductors,0.0675,903680612.52,8542,1,https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8542&y=2019,2019
CZE,electronics,DEU,electronics,electronics,0.0671,3585577451.59,8471;8517;8528,3,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8528&y=2019,2019
MEX,automotive,KOR,automotive,automotive,0.0664,256926181.0,8708,1,https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8708&y=2019,2019
VNM,electronics,MYS,electronics,electronics,0.066,476558906.17,8471;8517;8528,3,https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8528&y=2019,2019
USA,electronics,KOR,electronics,electronics,0.0659,549471037.0,8471;8528,2,https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8528&y=2019,2019
KOR,semiconductors,DEU,semiconductors,semiconductors,0.0649,1545259711.14,8541;8542,2,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8542&y=2019,2019
USA,automotive,IND,automotive,automotive,0.0645,288807436.13,8703;8704;8708,3,https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8708&y=2019,2019
VNM,semiconductors,MEX,semiconductors,semiconductors,0.0641,1577932712.0,8541;8542,2,https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8542&y=2019,2019
JPN,electronics,TWN,electronics,electronics,0.064,38708337.48,8528,1,https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8528&y=2019,2019
ITA,automotive,JPN,automotive,automotive,0.0636,771619642.68,8703,1,https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8703&y=2019,2019
JPN,semiconductors,CHN,semiconductors,semiconductors,0.0631,20984654141.0,8541;8542,2,https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8542&y=2019,2019
KOR,semiconductors,THA,semiconductors,semiconductors,0.0629,826487627.24,8541;8542,2,https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8542&y=2019,2019
PHL,electronics,CHN,electronics,electronics,0.0628,1967251667.0,8471;8528,2,https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8528&y=2019,2019
SGP,semiconductors,TWN,semiconductors,semiconductors,0.0624,3353156946.74,8542,1,https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8542&y=2019,2019
VNM,electronics,NLD,electronics,electronics,0.0624,1608624694.34,8517;8528,2,https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8528&y=2019,2019
MEX,automotive,DEU,automotive,automotive,0.0622,4510180759.51,8703,1,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8703&y=2019,2019
PHL,semiconductors,DEU,semiconductors,semiconductors,0.0621,1479087458.97,8541;8542,2,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8542&y=2019,2019
SGP,electronics,KOR,electronics,electronics,0.0621,416222060.0,8471,1,https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8471&y=2019,2019
POL,automotive,DEU,automotive,automotive,0.0614,7392755144.36,8703;8704;8708,3,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8708&y=2019,2019
VNM,electronics,JPN,electronics,electronics,0.0612,1484729186.11,8517,1,https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8517&y=2019,2019
ZAF,automotive,DEU,automotive,automotive,0.0608,4867662238.7,8703;8704,2,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8704&y=2019,2019
KOR,semiconductors,JPN,semiconductors,semiconductors,0.0603,1415482755.3,8541;8542,2,https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8542&y=2019,2019
MYS,electronics,CHN,electronics,electronics,0.0598,1871857007.0,8471;8528,2,https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8528&y=2019,2019
AUT,automotive,CHN,automotive,automotive,0.0595,67189940.0,8704,1,https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8704&y=2019,2019
VNM,automotive,JPN,automotive,automotive,0.0595,484252679.46,8708,1,https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8708&y=2019,2019
S19,electronics,MEX,electronics,electronics,0.0593,1575590223.0,8471;8517;8528,3,https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8528&y=2019,2019
HUN,automotive,DEU,automotive,automotive,0.0586,6603688165.12,8703;8708,2,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8708&y=2019,2019
JPN,electronics,DEU,electronics,electronics,0.0583,348407336.62,8528,1,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8528&y=2019,2019
NLD,electronics,DEU,electronics,electronics,0.0582,3110077031.41,8471;8517;8528,3,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8528&y=2019,2019
AUT,semiconductors,DEU,semiconductors,semiconductors,0.0575,390770356.87,8541,1,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8541&y=2019,2019
CHN,semiconductors,USA,semiconductors,semiconductors,0.0573,2542962571.0,8541;8542,2,https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8542&y=2019,2019
MYS,semiconductors,JPN,semiconductors,semiconductors,0.0555,1303272072.18,8541;8542,2,https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8542&y=2019,2019
VNM,electronics,MEX,electronics,electronics,0.0555,757079632.0,8517,1,https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8517&y=2019,2019
THA,semiconductors,DEU,semiconductors,semiconductors,0.0553,940756856.25,8542,1,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8542&y=2019,2019
GBR,automotive,USA,automotive,automotive,0.0551,9899719708.0,8703,1,https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8703&y=2019,2019
JPN,semiconductors,DEU,semiconductors,semiconductors,0.0551,1310344543.62,8541;8542,2,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8542&y=2019,2019
JPN,semiconductors,NLD,semiconductors,semiconductors,0.0543,149548009.69,8541,1,https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8541&y=2019,2019
BRA,automotive,MEX,automotive,automotive,0.0543,648625606.0,8703;8704,2,https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8704&y=2019,2019
THA,electronics,JPN,electronics,electronics,0.0541,2455170934.33,8471;8517;8528,3,https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8528&y=2019,2019
AUT,semiconductors,MYS,semiconductors,semiconductors,0.0538,163405525.96,8541,1,https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8541&y=2019,2019
IDN,automotive,JPN,automotive,automotive,0.0537,461249368.65,8704;8708,2,https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8708&y=2019,2019
NLD,automotive,CHN,automotive,automotive,0.0536,60553843.0,8704,1,https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8704&y=2019,2019
VNM,semiconductors,IND,semiconductors,semiconductors,0.0536,171857568.77,8541,1,https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8541&y=2019,2019
SWE,automotive,NLD,automotive,automotive,0.0535,1136567760.41,8703;8704;8708,3,https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8708&y=2019,2019
THA,automotive,MEX,automotive,automotive,0.0535,639584741.0,8703;8704,2,https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8704&y=2019,2019
USA,semiconductors,MEX,semiconductors,semiconductors,0.0534,1315112687.0,8541;8542,2,https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8542&y=2019,2019
GBR,automotive,THA,automotive,automotive,0.0532,83140180.04,8703,1,https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8703&y=2019,2019
IND,automotive,VNM,automotive,automotive,0.0525,158372575.11,8704;8708,2,https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8708&y=2019,2019
SGP,electronics,VNM,electronics,electronics,0.0523,106482386.67,8471,1,https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8471&y=2019,2019
POL,electronics,CHN,electronics,electronics,0.0516,40539426.0,8528,1,https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8528&y=2019,2019
