"Series Description","Computer and peripheral equipment  (NAICS = 3341); n.s.a. IP","Computer and peripheral equipment  (NAICS = 3341); s.a. IP","Semiconductor and other electronic component  (NAICS = 3344); n.s.a. IP","Semiconductor and other electronic component  (NAICS = 3344); s.a. IP","Motor vehicles and parts  (NAICS = 3361-3); n.s.a. IP","Motor vehicles and parts  (NAICS = 3361-3); s.a. IP","Computers, communications eq., and semiconductors  (NAICS = 3341,3342,3344); n.s.a. IP","Computers, communications eq., and semiconductors  (NAICS = 3341,3342,3344); s.a. IP"
1993-09,5.1916,4.8665,0.5048,0.4631,55.5135,56.3448,1.6797,1.5844
1993-10,5.7409,5.1057,0.4619,0.4668,64.0334,59.6595,1.6613,1.6159
1993-11,5.9797,5.2489,0.4840,0.4708,59.0922,60.8095,1.7376,1.6477
1993-12,5.6578,5.2004,0.5052,0.4830,54.4927,61.5077,1.7606,1.6698
1994-01,4.9871,5.0613,0.4564,0.4985,62.0581,62.9948,1.6095,1.6895
1994-02,4.5481,4.9996,0.4844,0.5062,70.0884,64.3959,1.6230,1.7010
1994-03,4.5514,5.1123,0.5797,0.5273,71.2954,63.6578,1.8044,1.7650
1994-04,4.8754,5.3503,0.5425,0.5528,68.8404,64.7449,1.7749,1.8375
1994-05,5.2663,5.6056,0.5428,0.5692,69.4572,64.2909,1.8175,1.8978
1994-06,5.5291,5.8121,0.6197,0.5780,70.3141,65.0851,1.9818,1.9351
1994-07,5.7755,6.0177,0.5588,0.5934,44.6341,65.0746,1.8948,1.9805
1994-08,6.2538,6.3040,0.5717,0.6100,64.6940,67.1251,1.9769,2.0464
1994-09,7.0589,6.6892,0.6841,0.6310,66.3094,66.9894,2.2423,2.1211
1994-10,7.8496,7.0643,0.6363,0.6515,72.3744,67.6144,2.2422,2.2032
1994-11,8.1443,7.2764,0.6843,0.6711,66.0453,67.7120,2.3715,2.2680
1994-12,7.6970,7.2439,0.7245,0.6960,61.9139,68.3395,2.4308,2.3244
1995-01,6.9141,7.1079,0.6399,0.7128,66.8353,69.2197,2.1996,2.3447
1995-02,6.3732,7.0810,0.7072,0.7332,76.0962,69.6517,2.2678,2.3727
1995-03,6.4184,7.2895,0.8478,0.7641,77.9808,69.6400,2.5278,2.4582
1995-04,6.8965,7.6656,0.7477,0.7860,71.6580,68.5098,2.3853,2.5242
1995-05,7.4842,8.0522,0.7674,0.8132,70.6922,67.2292,2.4829,2.6142
1995-06,7.9446,8.3383,0.8959,0.8325,72.3303,67.6335,2.7631,2.6847
1995-07,8.3551,8.5587,0.7744,0.8408,44.8393,64.9790,2.5808,2.7202
1995-08,8.9317,8.8051,0.8247,0.8831,65.0995,67.7435,2.7381,2.8300
1995-09,9.7660,9.1298,1.0318,0.9276,68.9996,68.7024,3.1783,2.9454
1995-10,10.6070,9.5092,0.9222,0.9531,72.1160,66.9381,3.0771,3.0423
1995-11,11.0675,9.8861,1.0048,0.9781,65.8836,66.4880,3.2616,3.1095
1995-12,10.8766,10.2114,1.0882,1.0278,61.8726,67.6685,3.4082,3.2244
1996-01,10.2428,10.4726,0.9702,1.0786,63.2049,64.7264,3.1300,3.3355
1996-02,9.6706,10.6544,1.0966,1.1394,74.6600,67.6503,3.3271,3.4848
1996-03,9.5650,10.7844,1.3249,1.1712,67.8260,60.2232,3.7113,3.5634
1996-04,9.9250,10.9663,1.1190,1.1973,73.5791,69.6246,3.4184,3.6348
1996-05,10.5460,11.2957,1.1468,1.2357,73.2754,69.6191,3.5273,3.7389
1996-06,11.2698,11.8369,1.3579,1.2657,75.7550,70.7549,3.9512,3.8525
1996-07,12.0568,12.4477,1.1702,1.3083,49.0395,72.2039,3.7405,3.9983
1996-08,13.0058,12.9566,1.2544,1.3579,69.1379,69.8483,3.9720,4.1423
1996-09,14.0435,13.2000,1.5870,1.4113,71.4273,70.5081,4.6121,4.2682
1996-10,14.8587,13.2781,1.4305,1.4788,72.8341,66.8382,4.4687,4.4110
1996-11,15.0789,13.3565,1.5775,1.5209,69.5899,69.4674,4.7536,4.5057
1996-12,14.5559,13.5694,1.6833,1.5532,62.3518,71.2164,4.9435,4.6204
1997-01,13.7370,13.9551,1.4090,1.5955,70.4839,72.3174,4.4110,4.7251
1997-02,13.2741,14.4772,1.5921,1.6798,80.8545,73.4079,4.6985,4.9396
1997-03,13.5721,15.1371,1.9866,1.7470,80.1445,74.6342,5.3598,5.1221
1997-04,14.5055,15.8947,1.6480,1.7981,77.1999,70.4844,4.9656,5.3042
1997-05,15.6176,16.6430,1.7168,1.8763,75.8328,71.7296,5.1865,5.5175
1997-06,16.4784,17.3049,2.0742,1.9274,76.7615,74.2539,5.8590,5.7020
1997-07,17.2066,17.8491,1.7409,1.9704,50.4284,73.6198,5.4595,5.8763
1997-08,18.1933,18.2780,1.9166,2.0717,75.0829,75.7030,5.8342,6.0942
1997-09,19.6061,18.6174,2.4755,2.1723,77.3126,76.3359,6.8541,6.3240
1997-10,21.0922,19.0299,2.1721,2.2375,84.4331,77.5045,6.5639,6.4916
1997-11,22.1046,19.6997,2.4161,2.3128,80.2821,80.3263,7.0772,6.7028
1997-12,22.1976,20.6990,2.6091,2.3681,71.0724,79.5718,7.4117,6.8816
1998-01,21.5349,21.7658,2.1151,2.4334,74.0841,78.7942,6.5951,7.0803
1998-02,20.7937,22.4681,2.3539,2.4396,84.5552,78.2161,6.8919,7.1749
1998-03,20.5719,22.6417,2.7899,2.4932,86.3796,78.0543,7.4891,7.2699
1998-04,20.8416,22.5233,2.3858,2.5916,81.0135,78.4412,6.9933,7.4404
1998-05,21.3266,22.5036,2.3930,2.6278,82.8499,79.0014,7.1078,7.5257
1998-06,21.8518,22.8768,2.9181,2.7404,71.1736,70.7414,7.8966,7.7537
1998-07,22.6212,23.5852,2.5946,2.8884,44.9951,61.1037,7.5350,8.0270
1998-08,24.0903,24.4568,2.8362,3.0318,82.2424,81.9443,8.0343,8.3146
1998-09,26.4288,25.3138,3.6036,3.2134,84.3996,83.0573,9.2126,8.6353
1998-10,28.8827,26.1549,3.3258,3.3835,93.8735,85.7025,9.1190,8.9333
1998-11,30.3128,27.0156,3.6451,3.5101,83.9400,85.2652,9.7088,9.2048
1998-12,29.9729,27.9237,4.0595,3.6676,77.2997,86.4848,10.3166,9.5402
1999-01,28.5825,28.8720,3.4415,3.8312,83.0224,86.2914,9.3924,9.9002
1999-02,27.5693,29.7613,3.7213,4.0388,94.2228,87.4800,9.7235,10.3058
1999-03,27.8888,30.6025,4.7101,4.2019,96.3127,87.2953,11.0780,10.6504
1999-04,29.2170,31.3947,4.0334,4.3865,91.6081,88.1259,10.4453,11.0717
1999-05,30.5881,32.0799,4.1128,4.5252,93.9988,89.0885,10.7164,11.3515
1999-06,31.1929,32.6218,5.1501,4.7196,92.8887,88.7570,12.1288,11.6797
1999-07,31.4046,32.9565,4.5173,5.0164,60.8572,88.4048,11.3819,12.1769
1999-08,32.2458,33.0170,4.7089,4.9717,93.2806,91.5115,11.8031,12.2113
1999-09,34.2739,32.8286,5.5903,4.9603,91.4573,89.0141,13.1468,12.2785
1999-10,36.5188,32.7060,5.0091,5.1056,100.8362,91.5687,12.6995,12.5172
1999-11,37.6487,33.0446,5.4817,5.3139,89.5352,90.4461,13.4698,12.8921
1999-12,36.8141,34.0594,6.0511,5.4565,79.0602,89.0968,14.3131,13.2633
2000-01,34.7253,35.4041,5.0744,5.6204,88.6310,90.4508,13.0113,13.7431
2000-02,33.1681,36.4722,5.2978,5.7762,94.9260,89.0737,13.3401,14.2079
2000-03,33.4704,36.9586,6.7863,6.0549,96.5088,88.4736,15.2760,14.6973
2000-04,34.9659,37.1054,5.8381,6.3692,91.6241,88.9575,14.3880,15.1896
2000-05,36.2382,37.3335,6.0866,6.6909,91.1685,88.5102,14.9216,15.7763
2000-06,36.4633,37.9342,7.6505,6.9542,91.1503,86.7047,16.8001,16.0835
2000-07,36.6341,38.7588,6.5939,7.3065,57.7296,83.0224,15.5597,16.6271
2000-08,38.2949,39.5184,7.0446,7.4126,85.4182,83.7278,16.3239,16.9041
2000-09,42.3600,39.9709,8.4981,7.5405,85.3362,83.2245,18.5375,17.2172
2000-10,44.8809,40.1550,7.4630,7.6973,89.8228,81.8252,17.5556,17.4194
2000-11,45.6664,40.1794,8.2204,8.0352,77.4627,78.1321,18.5114,17.8061
2000-12,43.1011,40.1782,9.1844,8.2806,67.7608,75.4365,19.5919,18.1457
2001-01,39.3070,40.3632,7.1060,8.1569,69.6481,72.2327,16.9049,18.1291
2001-02,37.1875,40.9206,7.7016,8.1190,78.4121,73.8336,17.2660,17.9951
2001-03,37.9487,41.9130,9.3798,8.1813,84.7203,77.9472,19.0496,18.0423
2001-04,40.3762,42.9589,7.2493,8.0418,80.4500,78.1539,16.6346,17.7526
2001-05,42.2465,43.4344,7.2752,7.9237,84.5687,80.2239,16.7483,17.5324
2001-06,41.9932,42.9974,8.6703,7.8019,83.4394,78.7619,18.0964,17.1874
2001-07,40.7408,42.0500,6.6920,7.4679,55.8389,79.3589,15.7055,16.6107
2001-08,40.6250,41.2475,7.2844,7.5992,81.6733,78.8798,16.0184,16.4792
2001-09,42.9539,41.0808,8.9203,7.7622,79.3393,76.4801,17.7710,16.4610
2001-10,46.2449,41.4509,7.6483,7.9230,82.7861,74.9632,16.6679,16.5328
2001-11,47.8119,42.1042,7.9754,7.8071,78.1341,78.0923,16.9505,16.3172
2001-12,45.8899,42.8045,9.0739,8.1924,70.9254,81.0081,17.8656,16.6389
2002-01,42.2094,43.3566,7.3628,8.3054,78.1640,80.3948,15.3823,16.4523
2002-02,39.4781,43.5018,8.0067,8.6572,86.9939,81.0024,15.7034,16.8407
2002-03,38.9387,43.1785,10.3259,8.8337,87.5515,81.8572,17.8645,16.9484
2002-04,40.0088,42.6885,8.0469,9.0789,89.7452,84.2400,15.7839,17.0715
2002-05,41.4743,42.5280,8.5059,9.2091,89.2887,84.5176,16.2903,17.0800
2002-06,42.3211,42.9995,10.5392,9.3702,92.0437,85.9879,18.3111,17.2470
2002-07,42.8899,43.8140,8.3897,9.5136,62.1166,88.3553,16.2008,17.3484
2002-08,44.2245,44.4793,9.2618,9.6704,89.9656,87.0521,17.1415,17.5921
2002-09,46.8354,44.6314,11.3159,9.7610,90.6039,86.6796,19.4433,17.7114
2002-10,49.2720,44.4171,9.4078,9.8730,95.0442,85.9653,17.8691,17.7270
2002-11,49.4796,44.1253,10.1517,9.9873,86.7457,89.6144,18.6739,17.9063
2002-12,46.6048,44.0164,11.0354,10.0899,73.6878,86.2845,19.2718,18.0108
2003-01,42.7128,44.2744,9.2037,10.4129,87.9209,90.9838,16.8578,18.2474
2003-02,40.5668,45.0248,10.0759,10.7760,94.2805,87.7604,17.5584,18.8080
2003-03,41.4809,46.3009,12.5853,10.9388,95.4899,87.5463,20.0162,19.0896
2003-04,44.6081,47.8501,9.8867,11.1714,89.4316,86.7884,17.8642,19.4744
2003-05,47.7863,49.2061,10.7378,11.5326,90.3050,86.4338,19.0505,19.9827
2003-06,49.1128,50.0579,13.3716,11.9971,91.5282,87.5110,21.8343,20.6227
2003-07,49.4173,50.4554,10.8924,12.5721,63.4948,91.0629,19.6636,21.3436
2003-08,50.6543,50.5784,12.4606,12.9610,90.5660,86.9366,21.3378,21.8347
2003-09,53.6141,50.5880,15.8184,13.4829,95.9411,91.8578,24.8981,22.3702
2003-10,56.3927,50.5956,13.2485,14.0285,99.5187,90.5049,23.0169,22.9740
2003-11,56.6459,50.6819,14.6569,14.4245,90.8290,91.3318,24.4441,23.4735
2003-12,53.4914,50.8698,15.8841,14.5241,80.2598,90.8479,25.4166,23.7375
2004-01,48.9722,51.0202,12.5330,14.7787,86.1437,91.3667,21.9189,24.2772
2004-02,45.7930,50.9461,14.6981,15.1371,98.1686,91.7203,23.4257,24.6164
2004-03,45.2705,50.5560,17.8178,15.4862,98.3316,90.7255,26.0561,24.7848
2004-04,46.5921,49.9985,13.8023,15.6914,92.6194,89.9252,22.5777,24.7462
2004-05,48.1338,49.5214,15.0288,16.0261,90.5960,88.4973,23.8929,24.9170
2004-06,48.7771,49.3361,17.9401,16.1199,90.6794,85.3646,26.5320,24.9802
2004-07,49.3882,49.5616,14.1234,16.0467,61.3175,84.7104,23.3108,25.0284
2004-08,51.3212,50.2933,15.7382,16.1569,90.4562,86.7495,25.0337,25.2616
2004-09,54.9316,51.5194,19.3499,16.4619,90.1331,86.3143,28.4959,25.5726
2004-10,58.6733,53.0566,15.6415,16.5854,96.5883,88.1121,25.8814,25.8316
2004-11,60.2765,54.6414,16.9763,16.6828,84.6786,86.2049,27.1261,26.0273
2004-12,58.3641,56.0429,18.5311,17.0073,78.0271,88.0488,28.2366,26.4444
2005-01,54.7338,57.1614,15.6647,17.6704,86.4428,87.7106,25.0650,27.1419
2005-02,52.2795,57.8750,16.7930,18.1825,97.1842,91.3975,25.7051,27.7453
2005-03,52.4924,58.2748,21.0430,18.4566,90.4965,87.5797,29.3571,28.0325
2005-04,54.7896,58.7052,16.6696,19.0442,92.0799,87.0969,26.0177,28.6287
2005-05,57.8490,59.5967,18.0163,19.3043,87.6718,87.0338,27.6830,29.0217
2005-06,60.6073,61.2063,21.6852,19.5147,93.2647,88.3510,31.1813,29.3530
2005-07,63.2789,63.2527,17.5463,19.8457,61.3746,84.5734,27.9049,29.9171
2005-08,66.6849,65.3005,19.9486,20.3867,92.9326,89.1832,30.3809,30.6334
2005-09,71.0316,66.9580,25.0396,21.0523,95.6989,91.5206,35.3627,31.4713
2005-10,74.8131,68.3386,20.2129,21.5116,101.7901,92.3463,32.1684,32.2621
2005-11,75.8146,69.6539,21.8463,21.5232,86.7755,90.0932,33.8856,32.6644
2005-12,73.0332,71.0848,23.7279,21.7009,79.1925,88.0182,35.2871,33.1273
2006-01,68.9511,72.7439,18.9472,21.8082,87.0006,90.8939,30.4767,33.4454
2006-02,66.9716,74.5595,20.6014,22.1027,93.1401,88.3345,31.5123,33.9577
2006-03,68.8750,76.5991,24.9217,21.9577,96.0140,90.2515,35.5092,34.2502
2006-04,73.6937,78.7495,19.2358,21.8225,90.5603,90.6264,31.6104,34.5950
2006-05,78.9854,80.6948,20.5977,21.9945,89.6801,89.2962,33.8845,35.1893
2006-06,82.3519,82.2606,24.3831,22.1243,94.9998,89.8483,37.8101,35.7374
2006-07,84.0417,83.4844,20.0044,22.1712,62.2216,83.5472,34.2349,36.0105
2006-08,85.8756,84.4912,22.4692,22.9459,92.8185,88.3077,36.5666,36.8320
2006-09,89.5738,85.3363,27.9440,23.5311,90.9889,86.0322,41.8947,37.6285
2006-10,93.5682,86.0703,22.5073,23.8685,94.2414,84.6712,38.0004,37.9549
2006-11,94.4598,86.7129,24.5277,24.1796,85.0641,86.1803,39.8745,38.4251
2006-12,91.6972,87.3424,26.8192,24.4525,80.3154,89.0554,41.5116,38.8600
2007-01,83.8812,88.2445,21.8606,24.6575,81.1311,84.8397,36.2607,39.3224
2007-02,82.1639,89.0951,22.4306,25.0646,92.5469,87.7655,36.8646,40.0974
2007-03,83.3592,90.2093,29.2437,26.0529,94.0408,88.4451,43.3590,41.6661
2007-04,88.1280,91.6362,23.8377,27.0673,90.8022,90.9658,40.2177,43.1412
2007-05,92.5198,93.2876,25.6064,27.6240,90.6892,90.2516,41.3449,42.7677
2007-06,95.9007,95.1465,31.0584,28.4040,97.4752,91.7515,43.9793,41.6481
2007-07,99.7926,97.3240,26.9726,29.4484,66.4412,89.3447,40.0699,41.8163
2007-08,102.2959,99.9974,29.2563,29.9392,94.4370,89.5223,42.0802,42.4850
2007-09,104.7046,103.0731,36.2828,30.6273,90.4998,85.3362,48.3634,43.6855
2007-10,110.5766,106.2741,30.7518,31.9479,94.7720,84.4206,45.2841,45.4988
2007-11,116.3011,109.2333,33.4933,33.2623,85.7399,85.0483,48.4563,47.2587
2007-12,115.7006,111.8029,37.7644,34.4632,74.2611,85.1452,51.8369,48.7299
2008-01,110.8359,114.4035,30.8993,34.6290,78.0485,82.3522,45.6830,49.3127
2008-02,107.6233,117.3905,31.9864,35.8672,86.1192,82.4972,45.9619,50.7067
2008-03,111.3695,120.9440,41.8023,36.9496,78.2642,77.3119,54.0733,51.9840
2008-04,119.7327,124.2201,33.1891,37.1894,75.5018,73.5103,48.8061,52.5305
2008-05,126.6833,125.9217,34.9720,37.4433,71.4397,72.6238,51.1825,52.8726
2008-06,128.2675,125.3232,41.3559,37.5504,79.2166,74.7803,56.2297,52.8279
2008-07,126.4300,123.1115,34.5135,36.5835,56.3050,73.0298,50.6740,51.7670
2008-08,121.9328,120.4482,35.6702,36.2134,70.2531,66.2010,50.8389,51.0304
2008-09,118.0371,118.3689,42.1274,35.4506,70.8166,66.3278,55.2275,49.9798
2008-10,120.6658,117.1357,32.5292,33.0694,72.6017,63.7218,48.2712,47.7534
2008-11,122.9585,116.8369,29.5000,29.6703,60.8271,61.0688,45.8347,44.8344
2008-12,126.9392,117.3712,28.5264,26.4554,51.1699,57.1386,44.9509,42.1344
2009-01,113.0243,118.0199,22.8929,25.7565,37.3948,39.7372,38.3766,41.3701
2009-02,106.0499,117.9039,24.4266,26.4467,46.7833,45.1239,38.3180,41.7413
2009-03,105.7411,116.5305,30.3548,27.4370,48.4152,46.0594,42.9234,42.4445
2009-04,109.4835,114.1950,25.4102,28.1607,46.0437,46.5216,40.1209,42.9840
2009-05,112.2209,111.5782,26.6752,28.8107,41.2286,41.5599,42.0571,43.3691
2009-06,111.1138,109.1495,32.1139,29.5193,42.3833,40.1785,46.0293,43.5957
2009-07,108.2639,106.8091,29.0867,30.8125,41.7552,52.5574,43.2053,44.1045
2009-08,104.6201,104.2102,30.8896,31.7491,58.2464,54.7065,43.9601,44.3377
2009-09,102.8200,101.2981,39.0747,33.2342,64.4210,60.9913,49.6275,45.0657
2009-10,106.3470,98.7142,33.8016,34.4543,68.3260,60.6397,46.4587,45.7598
2009-11,107.8352,97.5381,34.5425,35.6256,63.1149,62.6066,47.2254,46.6663
2009-12,106.8859,98.4591,38.6241,35.8859,55.9463,63.3767,50.3145,47.1780
2010-01,96.2234,100.3528,34.8410,37.7084,61.3217,64.4182,45.9438,48.9772
2010-02,89.9906,101.2384,35.2980,39.7907,65.0250,62.2667,45.4895,50.7968
2010-03,89.4060,99.8325,46.0479,41.8052,68.1055,63.9419,53.8940,52.2293
2010-04,91.8225,96.6660,39.8767,43.3374,64.1923,63.8429,49.5735,53.0746
2010-05,93.4314,93.2236,41.4598,44.5459,69.4957,69.0966,51.5149,53.6859
2010-06,92.3197,90.7467,48.8149,44.9888,72.7558,68.5732,57.3397,53.9027
2010-07,91.0084,89.1664,43.6494,45.9565,57.9074,73.1780,53.3077,54.6573
2010-08,88.9952,87.8363,45.8941,46.8431,74.2054,70.1245,54.9728,55.3482
2010-09,87.8361,86.2647,55.5371,47.6073,74.8218,71.1676,62.1866,55.8366
2010-10,92.7181,84.3090,47.2753,48.4053,80.3118,71.8161,56.7342,56.2967
2010-11,91.5480,82.0062,48.0860,50.1826,68.3468,69.2953,57.2314,57.5570
2010-12,85.8348,79.4915,56.9085,52.5176,60.0591,68.8274,63.5279,59.3539
2011-01,74.5337,77.1473,50.5552,53.7716,67.8081,70.1725,57.0522,60.3740
2011-02,68.6987,75.5871,47.8596,54.1177,76.2480,73.7902,54.2007,60.6637
2011-03,68.7269,75.0478,59.1502,53.7497,80.7504,76.4730,63.1777,60.3337
2011-04,72.1862,75.4652,50.0541,53.7194,69.5277,70.1350,56.5861,60.2692
2011-05,76.0393,76.6534,50.3266,54.0203,71.0691,71.2859,57.7690,60.5818
2011-06,77.9136,78.2892,59.3880,54.2273,74.7950,71.3130,65.2952,60.9967
2011-07,79.9242,79.9000,51.1339,53.6659,59.3134,73.3508,59.1072,60.8711
2011-08,80.0610,80.9750,54.0075,55.0189,79.6258,75.5292,61.4950,62.0999
2011-09,80.1749,81.1862,64.0997,54.9714,79.0058,75.6320,69.1852,62.0053
2011-10,87.8065,81.0140,53.2715,54.7035,88.8536,79.4416,61.8247,61.6180
2011-11,89.9965,81.1815,52.5956,55.2388,76.5856,77.6546,61.2881,61.9153
2011-12,88.7063,82.3210,60.7111,55.9485,70.9057,79.7104,67.2913,62.5438
2012-01,82.6351,84.7254,51.3289,56.5696,79.6079,83.7854,58.7058,63.2708
2012-02,85.1093,88.8213,53.0842,57.7653,86.2531,82.9372,60.2034,64.6083
2012-03,87.2904,90.7186,63.6548,58.3927,87.8755,82.4738,68.6848,65.1683
2012-04,91.4707,93.6986,55.5427,59.0870,83.9950,83.8420,62.5511,65.8298
2012-05,96.0460,95.4256,56.1327,59.9974,83.3953,82.6774,63.6820,66.6011
2012-06,96.0603,95.3213,66.5588,61.0013,88.9364,83.8076,71.9707,67.4140
2012-07,96.8840,97.2683,58.2273,60.6111,68.2616,83.2791,65.8031,67.4592
2012-08,95.7509,95.6353,58.8909,59.8824,86.2973,81.5091,66.4446,66.9181
2012-09,96.8645,94.5653,69.8090,60.9840,83.8355,80.4040,74.6225,67.7592
2012-10,97.8249,96.2575,61.1874,62.4098,91.0223,81.5722,68.6381,69.1150
2012-11,98.4161,95.7091,59.7099,62.1728,82.8418,83.8754,67.7243,69.1136
2012-12,98.8526,95.0586,67.0894,62.3427,74.6736,86.8321,73.7884,69.5616
2013-01,93.1591,96.0068,59.4091,62.7268,80.3233,84.5637,67.7549,70.4428
2013-02,91.4102,95.8267,55.5328,62.0140,89.9866,86.2965,65.0040,70.3964
2013-03,91.5787,94.5536,67.2147,62.6561,91.5539,87.8411,73.6339,71.0712
2013-04,93.4726,95.1480,60.6572,63.8934,89.8230,87.2297,69.5303,72.2817
2013-05,95.8778,94.2272,61.7639,64.9148,88.6847,87.8470,71.2868,73.1087
2013-06,95.9063,93.9693,70.5828,65.7834,94.9891,89.5653,77.4552,73.8875
2013-07,97.6139,97.9581,64.9032,66.8912,69.2592,84.0474,74.0500,75.2973
2013-08,98.3763,97.9660,67.1547,68.0148,94.4900,89.7311,75.7688,76.1061
2013-09,100.8408,98.7513,76.4706,68.6801,95.0310,91.5528,81.6628,76.5768
2013-10,98.7536,97.5431,70.0343,70.6466,100.1417,90.7073,77.5667,77.4754
2013-11,100.5749,98.8519,69.8255,71.7685,92.5888,92.8306,77.2309,78.0321
2013-12,99.7050,96.4672,77.2873,72.8464,78.4455,93.1043,81.7321,78.0004
2014-01,88.8308,91.4635,69.7531,74.5220,83.5802,88.1996,74.4347,78.0055
2014-02,89.3841,93.6512,70.2363,76.7132,98.6088,94.3343,74.0812,79.3524
2014-03,92.0712,96.0235,83.1823,78.4970,101.7598,95.0483,82.7584,80.6107
2014-04,92.3427,94.3985,76.2543,80.0616,95.7560,94.3760,78.1952,81.3327
2014-05,98.5073,96.8275,78.4379,81.8774,98.4628,97.2173,80.8412,82.7529
2014-06,101.6106,99.3667,87.6441,82.4052,103.9667,97.7374,87.1824,83.3490
2014-07,98.5492,99.5130,80.5673,82.7456,84.5661,103.3595,82.0244,83.5663
2014-08,103.2027,103.0314,81.5746,82.6163,103.4643,98.1264,83.4245,84.0252
2014-09,104.1809,102.9924,91.2890,82.6105,100.0671,96.4387,89.8120,84.2858
2014-10,104.8225,102.7102,82.3489,82.3956,105.0351,95.6328,85.1144,84.4312
2014-11,111.0999,107.8963,80.6696,81.9877,98.3313,100.4149,84.9723,85.0040
2014-12,109.5219,106.2495,86.6262,82.1515,86.8723,99.5852,88.7842,84.9089
2015-01,102.3090,105.4164,78.1682,82.1504,91.5896,99.2810,81.6889,84.7856
2015-02,102.9142,107.6665,75.2183,81.8215,99.7473,95.2407,79.5537,85.0526
2015-03,104.2180,108.0055,85.3003,81.0260,107.2675,99.9280,86.8942,85.1501
2015-04,109.8674,111.8209,77.3327,80.5543,102.9193,100.8207,83.1071,85.9971
2015-05,114.0430,111.8175,77.1102,79.9374,105.7240,104.4538,84.5249,86.0152
2015-06,115.3438,112.7729,84.8013,80.4261,105.6859,99.3223,89.5300,86.3093
2015-07,116.6272,117.1876,77.9210,79.8745,89.4199,108.3730,84.5362,86.0203
2015-08,116.2343,115.6293,79.3658,80.2585,107.9083,102.5238,85.0517,85.6333
2015-09,115.5437,115.7143,87.5971,80.7210,105.4092,102.2376,89.9058,85.7817
2015-10,120.1718,117.8093,81.2642,81.0480,112.3790,103.0499,87.4138,86.3183
2015-11,106.7267,103.6527,80.5220,81.2548,100.2215,100.4358,85.6370,84.9700
2015-12,109.6114,106.1176,86.9411,82.4698,86.9131,99.5180,90.3578,86.1674
2016-01,114.4497,117.3406,77.9738,81.6281,96.5934,102.6787,84.3554,87.0702
2016-02,110.5017,115.8167,76.2202,82.5464,107.0617,101.7467,82.1819,87.5833
2016-03,113.2063,117.6771,86.8703,82.9313,104.1723,100.6808,89.4765,88.1556
2016-04,114.9471,116.7283,80.2433,83.7862,107.1761,102.4201,85.5224,88.6114
2016-05,122.4433,120.1947,81.3624,84.7635,100.3633,99.7072,87.5810,89.4482
2016-06,121.3550,118.6208,90.1738,86.0963,110.1252,103.7364,92.6208,89.7131
2016-07,119.8069,119.3459,85.9334,88.2021,86.1450,104.6827,89.1283,90.8216
2016-08,118.8662,119.3977,88.4432,89.4199,108.4675,103.3208,90.9114,91.8382
2016-09,119.6658,118.8707,98.8419,91.3266,106.4047,103.4791,98.4457,93.9355
2016-10,119.4873,117.6397,92.8431,92.6780,112.6308,103.8431,96.9378,95.8463
2016-11,116.5967,113.4604,93.0144,93.5939,99.8339,101.4300,97.7102,96.7200
2016-12,116.2599,112.4933,99.2432,94.1908,91.0520,102.3001,101.7420,96.8701
2017-01,106.2494,109.1792,88.5785,95.0183,95.5376,101.6802,91.9755,96.4125
2017-02,101.1224,105.8238,90.5751,96.0273,106.6884,101.3894,91.3692,96.2163
2017-03,100.8262,103.7518,102.0835,97.5229,106.1834,98.5683,98.9425,96.9917
2017-04,101.0911,102.1877,96.2363,101.0176,103.1181,103.5520,95.4826,99.5320
2017-05,103.4923,101.7287,97.2233,101.0408,102.3994,102.0675,97.5977,100.0716
2017-06,103.9118,100.6563,105.5219,100.5480,106.3166,100.4789,103.6490,100.1287
2017-07,95.6638,95.2551,96.8924,99.5657,79.2322,95.5606,97.2402,99.3922
2017-08,95.0712,94.6318,99.1926,99.3714,102.5447,97.8734,99.2890,99.6635
2017-09,96.9826,95.9543,107.5422,100.0478,101.2178,99.0724,105.5055,100.7624
2017-10,99.1060,98.0172,101.6657,101.3948,108.4888,100.5710,103.4483,102.3257
2017-11,94.8964,94.3278,103.2069,103.1440,99.0754,99.0519,104.6053,103.3698
2017-12,101.5868,98.4864,111.2818,105.3014,89.1976,100.1347,110.8953,105.1334
2018-01,98.0046,101.6974,101.5373,106.5123,95.6450,101.5601,102.5122,105.9948
2018-02,95.4973,99.8212,98.1112,106.2109,110.5559,104.5676,98.8239,105.3759
2018-03,99.3453,102.2166,110.2757,105.5107,113.7789,106.9308,107.4130,105.1166
2018-04,104.5717,105.6915,101.1306,106.0022,110.0675,106.8519,101.9350,106.0281
2018-05,108.6165,107.0738,102.1953,106.3259,99.3792,99.1038,104.1111,106.9159
2018-06,114.8063,111.4307,112.2585,107.3727,110.7881,104.9052,112.3110,108.8777
2018-07,115.5247,115.5965,104.5212,107.5357,83.7813,100.0558,107.5408,110.3114
2018-08,118.3155,118.4505,108.4314,107.8675,109.4001,104.1271,111.2723,111.5714
2018-09,119.2609,117.4545,114.6290,106.6054,108.9069,106.5389,116.1582,111.0280
2018-10,124.1788,123.0218,105.8582,105.2557,112.8491,104.7229,112.2532,110.9289
2018-11,126.9194,125.7064,103.5496,103.0036,102.5935,103.7371,111.7241,109.9139
2018-12,132.0437,128.9238,108.2039,102.4992,94.6059,109.2503,116.2724,110.2645
2019-01,128.3585,132.5001,99.1319,103.7506,94.6940,100.4853,108.6892,111.8800
